mA	mB	mU	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
60.4296	0.0012	523.2991	0.0	NaN	NaN	1.0	0.0016102620275609393	0.0	0.0	0.0	0.0	19.0	NaN	1.0000000000000087	1.0	1.0	1.0	1.0	1.0000000000000042	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0000000000000087	1.0000000000000044	1.0000000000000218	1.000000000000026	1.0000000000000477	1.0000000000000737	1.000000000000117	1.000000000000182	1.000000000000299	1.0000000000004767	1.0000000000007716	1.0000000000012528	1.000000000002011	1.000000000003229	1.0000000000052012	1.0000000000083826	1.0000000000135014
0.0604	1.2409	0.5233	0.0	NaN	NaN	1.000014934445101	0.001	14.0	0.0	6.0	0.0	10.0	NaN	1.000014934445101	1.000025204498428	1.0000438743441529	1.0000806135489513	1.0001636811064016	1.0004085764845891	1.0017647457767054	1.084876821261563	1.3008415177775177	4.447167645160038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.3398	0.007	0.0029	0.0	NaN	NaN	1.0000000890458174	1000.0	0.0	0.0	0.0	0.0	30.0	NaN	1.0000216215195263	1.0000352315045729	1.0000578275317966	1.000096039845018	1.0001625832554275	1.000283975721905	1.0005223213707075	1.0010483374059862	1.002453850466394	1.0077358090208366	1.0518719048834022	1.0060195861728665	1.0018402472378127	1.0006792250411658	1.000285271841885	1.0001324471280402	1.0000666557414302	1.0000357409450604	1.000020097473979	1.0000116906635113	1.000006959807651	1.0000042074020252	1.0000025688614276	1.0000015783945815	1.0000009737017637	1.000000602178816	1.0000003729974083	1.0000002312654197	1.0000001434762067	1.0000000890458174
339.8208	6.9783	2.9427	0.03333333333333333	148.73521072935117	148.73521072935117	0.0856289616554245	148.73521072935117	4.0	0.0	0.0	0.0	25.0	45.96736741113474	1.0000000000355411	1.00000000005723	1.000000000092169	1.0000000001484235	1.0000000002390235	1.0000000003849245	1.0000000006199257	1.000000000998505	1.0000000016085444	1.0000000025919615	1.0000000041783617	1.0000000067402997	1.0000000108849234	1.0000000176090342	1.000000028567801	1.0000000465591201	1.000000076443845	1.0000001270214087	1.0000002152064862	1.0000003763922722	1.000000693836573	1.0000013977654931	1.0000032925585007	1.0000104839058386	1.000068828805229	0.0856289616554245	NaN	NaN	NaN	NaN
10.7461	0.2207	0.0931	0.0	NaN	NaN	1.0000000349098566	0.001	6.0	0.0	2.0	0.0	22.0	NaN	1.0000000349098566	1.0000000562408513	1.0000000906321223	1.0000001461222081	1.0000002357645323	1.0000003808636238	1.0000006164710638	1.0000010009907678	1.0000016336733577	1.0000026883442354	1.000004483445333	1.000007641631364	1.0000134970501051	1.0000252919943275	1.0000524124959105	1.0001300286168529	1.0004618438451212	1.0042536567724412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0000003798034893	1.000000235484138	1.0000001460930383	1.0000000906697222
0.0107	220.6734	93.0572	0.0	NaN	NaN	1.0000006831204926	0.001	5.0	0.0	5.0	0.0	20.0	NaN	1.0000006831204926	1.0000015146766439	1.0000045825255803	1.0000299273673237	1.0001459562444721	1.0002541792066095	1.0004131595061099	1.0006670813550695	1.0010760742064604	1.0017364896828276	1.0028053070559986	1.0045407616218567	1.0073734282529103	1.0120367591764419	1.0198239425543163	1.033146209900257	1.056933103060688	1.102980596404086	1.2093047367496668	1.6486093173256138	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0255	0.0029	0.0392	0.0	NaN	NaN	1.0000124197974523	0.001	17.0	0.0	0.0	0.0	13.0	NaN	1.0000124197974523	1.0000200670066763	1.0000324902507365	1.0000527817312626	1.0000862151851744	1.0001420849873592	1.00023761029319	1.0004071610657463	1.0007272901656556	1.0013985049017975	1.0030966531500627	1.0094068455450234	1.0842773513452333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.483	2.9427	39.2419	0.03333333333333333	385.6620421163472	385.6620421163472	-5.622930042147222	385.6620421163472	2.0	0.0	0.0	1.0	27.0	12.34128728464361	1.00000000001325	1.0000000000213334	1.000000000034358	1.0000000000553229	1.0000000000891003	1.000000000143474	1.000000000231031	1.0000000003720386	1.0000000005991385	1.0000000009649228	1.000000001554188	1.0000000025036893	1.0000000040343116	1.0000000065033219	1.0000000104902769	1.000000016939563	1.0000000274008132	1.0000000444458905	1.0000000724195457	1.0000001188675214	1.0000001974628332	1.000000334614632	1.0000005863813621	1.000001089491617	1.0000022556723078	1.0000058523136937	1.0000285158855897	-5.622930042147222	NaN	NaN
805.8422	0.0931	0.0012	0.0	NaN	NaN	1.0000000000748532	0.001	0.0	0.0	9.0	0.0	21.0	NaN	1.0000000000748532	1.0000000001205367	1.0000000001941332	1.0000000003127238	1.000000000503836	1.0000000008119916	1.0000000013093	1.000000002112974	1.0000000034145373	1.0000000055298388	1.0000000089869736	1.0000000146881343	1.000000024226292	1.0000000405543723	1.0000000695442948	1.000000124073402	1.0000002364504694	1.0000005045329456	1.0000013217726236	1.0000052897625569	1.0000734859683358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.8058	93.0572	1.2409	0.0	NaN	NaN	1.0000160188618576	0.001	18.0	0.0	6.0	0.0	6.0	NaN	1.0000160188618576	1.0000292291493476	1.0000584696077919	1.0001406285100867	1.0005372636747814	1.0421134183413092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
